0,1,2,3
0,41.0,41.0,81.0
1,41.0,41.0,61.0
2,46.0,35.0,45.0
3,35.0,46.0,45.0
4,49.0,32.0,57.0
5,49.0,32.0,33.0
6,32.0,49.0,57.0
7,32.0,49.0,33.0
8,60.0,41.0,61.0
9,41.0,21.0,61.0
10,60.0,41.0,29.0
11,41.0,21.0,29.0
12,41.0,60.0,61.0
13,21.0,41.0,61.0
14,41.0,60.0,29.0
15,21.0,41.0,29.0
16,69.0,41.0,65.0
17,69.0,41.0,57.0
18,41.0,12.0,65.0
19,41.0,12.0,57.0
20,69.0,41.0,33.0
21,69.0,41.0,25.0
22,41.0,12.0,33.0
23,41.0,12.0,25.0
24,41.0,69.0,65.0
25,41.0,69.0,57.0
26,12.0,41.0,65.0
27,12.0,41.0,57.0
28,41.0,69.0,33.0
29,41.0,69.0,25.0
30,12.0,41.0,33.0
31,12.0,41.0,25.0
32,74.0,52.0,69.0
33,74.0,29.0,69.0
34,74.0,52.0,53.0
35,74.0,29.0,53.0
36,52.0,7.0,69.0
37,29.0,7.0,69.0
38,52.0,7.0,53.0
39,29.0,7.0,53.0
40,74.0,52.0,37.0
41,74.0,29.0,37.0
42,74.0,52.0,21.0
43,74.0,29.0,21.0
44,52.0,7.0,37.0
45,29.0,7.0,37.0
46,52.0,7.0,21.0
47,29.0,7.0,21.0
48,52.0,74.0,69.0
49,29.0,74.0,69.0
50,52.0,74.0,53.0
51,29.0,74.0,53.0
52,7.0,52.0,69.0
53,7.0,29.0,69.0
54,7.0,52.0,53.0
55,7.0,29.0,53.0
56,52.0,74.0,37.0
57,29.0,74.0,37.0
58,52.0,74.0,21.0
59,29.0,74.0,21.0
60,7.0,52.0,37.0
61,7.0,29.0,37.0
62,7.0,52.0,21.0
63,7.0,29.0,21.0
